Rank,MovieName,Worldwide_lifetime_gross(M),Domestic_lifetime_gross(M),Foreign_lifetime_gross(M),DomesticPercentage,ForeignPercentage,Year_of_release
449,Lethal Weapon 3,321.73,144.73,177,45,55,1992
450,The Ugly Truth,321.68,88.92,232.77,27.6,72.4,2009
451,Robin Hood,321.67,105.27,216.4,32.7,67.3,2010
452,Inglourious Basterds,321.46,120.54,200.91,37.5,62.5,2009
453,101 Dalmatians,320.69,136.19,184.5,42.5,57.5,1996
454,The Conjuring 2,320.39,102.47,217.92,32,68,2016
455,Fatal Attraction,320.15,156.65,163.5,48.9,51.1,1987
456,The Last Airbender,319.71,131.77,187.94,41.2,58.8,2010
457,The Conjuring,319.51,137.4,182.11,43,57,2013
458,The Proposal,317.38,163.96,153.42,51.7,48.3,2009
459,A Beautiful Mind,316.79,170.74,146.05,53.9,46.1,2001
460,Beverly Hills Cop,316.36,234.76,81.6,74.2,25.8,1984
461,Air Force One,315.16,172.96,142.2,54.9,45.1,1997
462,The Expendables 2,314.98,85.03,229.95,27,73,2012
463,Chicken Little,314.43,135.39,179.05,43.1,56.9,2005
464,As Good as It Gets,314.18,148.48,165.7,47.3,52.7,1997
465,The Polar Express,314.13,187.86,126.28,59.8,40.2,2004
466,Maze Runner: The Scorch Trials,312.3,81.7,230.6,26.2,73.8,2015
467,Resident Evil: The Final Chapter,312.24,26.83,285.41,8.6,91.4,2016
468,Austin Powers: The Spy Who Shagged Me,312.02,206.04,105.98,66,34,1999
469,The Lego Batman Movie,311.95,175.75,136.2,56.3,43.7,2017
470,Knives Out,311.4,165.36,146.04,53.1,46.9,2019
471,Ocean's Thirteen,311.31,117.15,194.16,37.6,62.4,2007
472,Sonic the Hedgehog,310.67,146.07,164.6,47,53,2020
473,Little Fockers,310.65,148.44,162.21,47.8,52.2,2010
474,Bolt,309.98,114.05,195.93,36.8,63.2,2008
475,Ransom,309.49,136.49,173,44.1,55.9,1996
476,Runaway Bride,309.46,152.26,157.2,49.2,50.8,1999
477,The Blind Side,309.21,255.96,53.25,82.8,17.2,2009
478,The Ex-File 3: The Return of The Exes,307.59,0.84,306.75,0.3,99.7,2017
479,The Fault in Our Stars,307.17,124.87,182.29,40.6,59.4,2014
480,The Pursuit of Happyness,307.13,163.57,143.56,53.3,46.7,2006
